## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
15657	Radio|REMOTEV2/SCL^Pittsburgh@WAMO-AM_8007095822?Local #Urban Contemp	Offline - Radio Local Hybrid	Radio - Local	CreditRepair	Other	Other	Other	nan	nan
15835	ConsumersAdvocate - Brand Bids	Online - Affiliate Invoca	Affiliate	CreditRepair	Other	Other	Other	nan	nan
15902	Patch Corp - Phone	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
15904	MoneyLion - Online Affiliate	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
15954	Facebook: Prospecting - Broad (Snapshot)	Online - PPC Social Prospecting	Paid Social	CreditRepair	Other	Other	Other	nan	nan
16250	Natural Intelligence - Online	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
16253	TransUnion.com - Site Placement - CR	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
17000	TUCM - Site Placement - CR	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
17003	CreditReviews.com - OB	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
17017	Bliss Media - CR 	Email Marketing - Networks	Email Marketing	CreditRepair	Other	Other	Other	nan	nan
17037	Trustpilot	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
17044	Affiliate - Applied Minds	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
17099	Affiliate - Wickfire - Closed	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
17191	Social Media Facebook - Comments	Brand - Direct Earned PR	Earned Media	CreditRepair	Other	Other	Other	nan	nan
17192	Social Media-5	Brand - Direct Earned Social	Earned Media	CreditRepair	Other	Other	Other	nan	nan
17193	Social Media-6	Online - Natural Search	Natural Search	CreditRepair	Other	Other	Other	nan	nan
17268	Geist Display 509	Online - PPC Display Other	Display	CreditRepair	Other	Native	Native	nan	nan
17324	Geist Display 518	Online - PPC Display Geist	Display	CreditRepair	Other	Other	Other	nan	nan
17328	Geist Display 522	Online - PPC Display Geist	Display	CreditRepair	Other	Other	Other	nan	nan
17474	SkyRocket - CR	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
17475	Affiliate - Bryan Enterprises 	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
17476	CreditReviews.com - STL	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
17719	Facebook: Terrance - Prospecting	Brand - Direct Entry	Direct	CreditRepair	Other	Other	Other	nan	nan
17723	YouTube - Chambers Baseball 	Online - PPC Display GDN YT	Display	CreditRepair	Other	Other	Other	nan	nan
18309	Natural Search - CreditRepair.com App - Android	Online - Natural Search	Natural Search	CreditRepair	Other	Other	Other	nan	nan
18310	Natural Search - Creditepair.com App - iTunes	Online - Natural Search	Natural Search	CreditRepair	Other	Other	Other	nan	nan
18373	Consumers Advocate - BCB 	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
18382	Plateau Data - Affiliate - Ad Mortgage	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
18480	18-34 IG/IG Stories - Contact	Online - PPC Social Facebook	Paid Social	CreditRepair	Other	Other	Other	nan	nan
18482	18-34 NF/MSG/MKP - Leads	Online - PPC Social Facebook	Paid Social	CreditRepair	Other	Other	Other	nan	nan
18484	18-34 IG/IG Stories - Leads - Copy	Online - PPC Social Prospecting	Paid Social	CreditRepair	Other	Other	Other	nan	nan
18519	Yahoo: Credit Repair - Native - Prospecting	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
18520	Yahoo: Credit Repair - Native - Prospecting	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
18521	Yahoo: Credit Repair - Native - Prospecting	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
18527	Reddit: Credit Repair - Display - Prospecting	Online - PPC Display Prospecting	Display	CreditRepair	Display - Prospecting	Other	Other	nan	nan
18614	Stringo Native 4023	Online - PPC Display Other	Display	CreditRepair	Other	Native	Native	nan	nan
18697	NorCal Markteing - Affiliate - Reviews	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
18700	Plateau Data - Affiliate - Ad Refi	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
19564	CCOM PM E	Credit.com	Freemium & Email	CreditRepair	Other	Other	Other	nan	nan
19649	Powerinbox: P - Broad	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
19753	Facebook: Prospecting [P]	Online - PPC Social Prospecting	Paid Social	CreditRepair	Other	Other	Other	nan	nan
