## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
3226	MSN: NBrand Desktop - Credit Bureaus 1	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3228	MSN: NBrand Desktop - Credit Disputes 1	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3229	MSN: NBrand Desktop - Credit Disputes 2	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3232	MSN: NBrand Desktop - Credit Professionals 1	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3234	MSN: NBrand Desktop - Credit Repair 1	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3235	MSN: NBrand Desktop - Credit Repair 2	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3238	MSN: NBrand Desktop - Credit Repair Reviews 1	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3243	MSN: NBrand Desktop - Fix Credit 1	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3247	MSN: NBrand Desktop - How To HV 2	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3255	MSN: NBrand Desktop - Rebuild Credit 2	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3259	MSN: NBrand Desktop - Remove Credit Negatives 2	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3278	Google: NBrand Mobile - Credit Help 2	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
3279	Google: NBrand Mobile - Credit Professionals 2	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
